"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"Gamma_layer_1_perturbation_0.13_gauss_0.20","finished","-","","","2025-07-04T14:23:11.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.13","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","61.38","0.2741092006365458","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:52:19.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.43","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","67.79","0.2742411295572917","10","10"
"Beta_layer1_perturbation_0.23_sp_0.00","finished","-","","","2025-07-04T15:25:37.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.23","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","64.12","0.27285653750101724","10","10"
"Gamma_layer_0_perturbation_0.23_sp_0.00","finished","-","","","2025-07-04T13:55:20.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.23","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","66.88","0.27113819122314453","10","10"
"Beta_layer2_perturbation_0.13_sp_0.06","finished","-","","","2025-07-04T15:49:07.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.13","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","36.81","0.2712310830752055","10","10"
"Beta_layer1_perturbation_0.13_sp_0.02","finished","-","","","2025-07-04T15:27:12.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.13","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","39.95","0.2689199447631836","10","10"
"Beta_layer1_perturbation_0.23_sp_0.02","finished","-","","","2025-07-04T15:27:35.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.23","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","47","0.27076627413431803","10","10"
"Gamma_layer_1_perturbation_0.33_gauss_0.00","finished","-","","","2025-07-04T14:22:00.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","68.49","0.27297952175140383","10","10"
"Gamma_layer_3_perturbation_0.23_gauss_0.20","finished","-","","","2025-07-04T14:59:35.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.23","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","66.29","0.27072890202204386","10","10"
"Gamma_layer_0_perturbation_0.13_sp_0.00","finished","-","","","2025-07-04T13:54:56.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.13","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","63.18","0.2711962620417277","10","10"
"Beta_layer2_perturbation_0.23_sp_0.04","finished","-","","","2025-07-04T15:47:31.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.23","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","42.41","0.2703951319058736","10","10"
